Depertment ,Question,Answer,Explanation,source
Brain Tumors,"A 9-year-old boy presents to the emergency department with emesis and headache of 3
weeks’ duration. MRI reveals a large heterogeneous mass in the cerebellum. He undergoes a
resection, and the pathology is most consistent with a classic medulloblastoma.
Which of the following findings would classify the patient as a high-risk medulloblastoma?
A. Elevated serum and CSF AFP and beta-HCG tumor markers
B. WNT subgrouping on molecular classification
C. A presurgical spine MRI that reveals bulky tumor in the spine
D. A postoperative brain MRI with no signs of residual tumor",C. A presurgical spine MRI that reveals bulky tumor in the spine,"Although molecular classification is slowly becoming part of prognostication and treatment
paradigms for medulloblastoma, the most accepted and studied risk groups are standard- and high-risk medulloblastoma. WNT subgrouping seems to portend an improved survival, and by itself does not make a patient high-risk. In addition to histology (classic, desmoplastic, extremely nodular, and anaplastic/large cell), the other characteristics that define risk groups are age, amount of residual disease, and metastases. Both lumbar CSF cytology and a full spine MRI are necessary to evaluate for metastatic disease. Spinal MRI should be done preoperatively or 10 to 14 days postoperatively to avoid postoperative changes that can make interpretation difficult.
Lumbar CSF cytology also should be done 10 to 14 days postoperatively. Metastatic disease in the spine would increase the patient’s risk level to high and change treatment. Medulloblastoma metastases typically are confined to the brain and spine. Medulloblastoma does not secrete tumor markers.",100mcq's
Brain Tumors,"A 6-year-old boy is noted to have worsening visual acuity on serial eye exams. Recent MRI
of his brain and orbits reveals an optic chiasm mass, most consistent with an optic pathway
glioma. Upon further examination, the physician notes axillary freckling and numerous
“spots” on the patient’s skin.
This patient most likely has a which of the following genetic disorders?
A. Neurofibromatosis type-1 (NF1)
B. Li Fraumeni syndrome
C. Tuberous sclerosis
D. Cystic Fibrosis",A. Neurofibromatosis type-1 (NF1),"Children with neurofibromatosis type-1 (NF-1) have about a 15% to 20% risk of developing lowgrade gliomas (LGG), most commonly in the optic pathway. They also have a variety of other abnormalities such as axillary freckling and café-au-lait spots. Li Fraumeni syndrome is associated with p53 mutations and high-grade tumors, like high-grade gliomas and sarcomas.
The characteristic brain tumor in tuberous sclerosis is a subependymal giant cell astrocytom (SEGA). Patients with cystic fibrosis are not at increased risk of CNS tumors. LGGs in patients
with NF1 are often indolent and do not necessitate any therapy at all. However, most would
agree that when visual acuity is affected by the tumor, treatment is indicated to prevent further vision decline and possibly improve vision in some patients. The best known current therapy is LGG chemotherapy. Common first-line LGG chemotherapies are combinations of carboplatin/vincristine, vinblastine alone, or a combination of thioguanine, procarbazine,
lomustine (CCNU), and vincristine (TPCV). TPCV often is avoided for patients with NF-1
because of the risks of secondary malignancy with alkylator use. Radiotherapy is avoided for children with NF-1 because of the high risk of secondary malignancy.",100mcq's
Brain Tumors,"An 8-year-old boy undergoes a resection of a tumor in the right cerebrum next to the lateral
ventricle (supratentorial). The pathologist feels the histology is most consistent with an
ependymoma. The tumor is sent for advanced molecular and genetic testing. Which of the
following findings would further support a diagnosis of ependymoma?
A. BRAFKIAA1549 fusion
B. BRAFV600E mutation
C. RELA fusion
D. H3K27M mutation",C. RELA fusion,"Both A and B (the BRAF abnormalities) are most commonly seen in glial tumors, specifically in
low-grade glioma. BRAFKIAA1549 fusion is seen in 60% to 80% of classic pilocytic
astrocytoma, the most common pediatric low-grade glioma. The BRAFV600E mutation is most
commonly seen in low-grade glioma but has also been described in about 8% to 10% of highgrade
glioma. Supratentorial ependymomas seemingly are divided by two major molecular
aberrations, including the C11orf95-RELA fusion and the YAP1 fusion. The RELA fusion is
much more common and seems to portend a worse prognosis, whereas the YAP1 fusion is quite
rare and most often seen in infants with an improved survival outcome. The H3K27M mutation
is a defining characteristic of diffuse midline gliomas, such as diffuse intrinsic pontine glioma
(DIPG).",100mcq's
Brain Tumors,"A 5-year-old boy presents with a 3-week history of his right eye “not moving to the right
side.” The remainder of his neurologic exam is normal with the exception of a weak gag.
MRI of the brain reveals a diffusely infiltrative mass in the pons.
If this patient were to undergo a stereotactic biopsy, what would be the most likely
molecular finding?
A. BRAFKIAA1549 fusion
B. Trisomy 21
C. H3 K27M mutation
D. RELA fusion",C. H3 K27M mutation,"Advances over the last decade have revealed a characteristic histone mutation in DIPG and other
midline high-grade gliomas in H3 K27M. The World Health Organization now classifies midline
tumors harboring this abnormality as diffuse midline gliomas (DMG), which portend a worse
prognosis than other high-grade gliomas. BRAFKIAA1549 fusion is commonly seen in lowgrade
glioma. Trisomy 21 is not commonly seen in brain tumors. RELA fusion is a common
finding in supratentorial ependymoma.",100mcq's
Acute Lymphoblastic Leukemia,"Blinatumomab, a bispecific T-cell engaging molecule, is active against which CD antigen
that is expressed on B-lymphoblasts?
A. CD10
B. CD15
C. CD19
D. CD20
E. CD22",C. CD19,"There are currently no targeted agents available for CD10 or CD15. Rituximab is a monoclonal
antibody against CD20. Inotuzumab is a calicheamicin-conjugated monoclonal antibody against
CD22. Blinatumomab is a bispecific T-cell engaging molecule that brings together a patient’s
CD3-positive cells to the patient’s CD19-positive lymphoblasts.",100mcq's
 Acute Lymphoblastic Leukemia,"Of the variables listed below, what is the most important factor for survival after relapse of
acute lymphoblastic leukemia?
A. Time to marrow relapse since initial diagnosis
B. Sex
C. Central nervous system involvement at relapse
D. Response to induction therapy during initial diagnosis
E. Percent of marrow blasts at the time of relapse",A. Time to marrow relapse since initial diagnosis,"The most important prognostic factor for survival after relapse is the time to relapse after initial
diagnosis, especially for those with marrow involvement. Although outcomes after relapse may
be shifting with new therapies that have become available for children and adolescents and
young adults who experience relapse, historic outcomes for relapse prior to the introduction of
these newer therapies (blinatumomab, inotuzumab, and CAR-T cells) were remarkably constant
across multiple consortia. For example, survival for patients who relapse less than 18 months
from initial diagnosis is the worst, with most 3-year survival rates less than 20%. Neither sex nor
central nervous system involvement worsen the prognosis for marrow relapse. In addition,
percent marrow blasts at the time of relapse has no significance, nor does the response rate of the
patient at initial diagnosis, although measurable residual disease at end induction for B-acute
lymphoblastic leukemia (ALL) and end consolidation for T-ALL is generally considered to be
the most important prognostic variable for ultimate relapse.",100mcq's
 Acute Lymphoblastic Leukemia,"An 8-year-old girl presents with National Cancer Institute (NCI) Standard Risk acute pre-Bcell
acute lymphoblastic leukemia. Her family history is significant for her mother having
been diagnosed with breast cancer at age 34 years and a maternal uncle who developed
osteosarcoma as a teenager. What cytogenetic abnormality is most likely to be detected in
this patient?
A. t(1;19)
B. CRLF2 rearrangement with a JAK2 mutation
C. KMT2A rearrangement
D. Hypodiploidy with a modal chromosome number of 34
E. Hypodiploidy with a modal chromosome number of 24",D. Hypodiploidy with a modal chromosome number of 34,,100mcq's
 Stem Cell Transplantation,"When should autologous hematopoietic stem cell transplantation be used, and what are the
common cancers it is used for?
A. It should be used when high dose therapy is needed to maximize response. Most common
cancers it is used for include lymphoma, late relapse of acute lymphoblastic leukemia,
neuroblastoma, and Ewing sarcoma.
B. It should be used any time this approach can provide a meaningful survival benefit over
chemotherapy. Most common cancers it is used for include neuroblastoma, responsive
brain tumors in young children to avoid/minimize early radiation therapy, and relapsed
lymphoma.
C. It should be used for tumors in which a graft-versus-tumor effect does not occur. Most
common cancers include neuroblastoma, lymphoma, selected brain tumors,
rhabdomyosarcoma, and Ewing sarcoma with lung metastases.
D. It should be used to avoid extensive treatment with chemotherapy and to shorten
treatment. Most common cancers include neuroblastoma, relapsed Wilms’ tumor, and
selected brain tumors.
E. It should be used to avoid complications of graft-versus-host disease. Most common
cancers include neuroblastoma, selected brain tumors, and relapsed lymphoma.","B. It should be used any time this approach can provide a meaningful survival benefit over
chemotherapy. Most common cancers it is used for include neuroblastoma, responsive
brain tumors in young children to avoid/minimize early radiation therapy, and relapsed
lymphoma.","Autologous transplantation, often called high-dose chemotherapy with stem cell rescue, is an
approach that is limited to tumors with a dose-response curve that allows cure to be achieved
after receiving one or more rounds of intensive therapy. It should not be limited to tumors in
which a graft-versus-tumor effect (GVT) from an allogeneic donor does not occur, but for any
disease for which it can be shown to have a beneficial effect on survival above standard
chemotherapy. There are rare situations in which a patient with a disease like acute myeloid
leukemia (AML), which has a great GVT effect and usually requires an allogeneic hematopoietic
stem cell transplant (HSCT), can benefit from autologous bone marrow transplant (BMT) (eg,
lower risk disease that relapses late, has a molecular marker, and patients achieve a very deep
remission—acute promyelocytic leukemia and t(8:21) AML). Some tumors have a great
response to high-dose chemotherapy but can be cured equally well with intensive chemotherapy
(eg, relapsed Wilms’ tumor). Whether autologous HSCT should be used in this setting for
Wilms’ tumor is controversial, and patient/center preference is used. Use of this approach to
avoid graft-versus-host disease is highly desirable; however, in many cancer types, GVT is vital
and needed for success (high risk acute lymphoblastic leukemia and AML). The most common
tumor types benefitting from autologous HSCT include neuroblastoma, responsive brain tumors
(several tumor types in children younger than 3 years to avoid, postpone, or minimize radiation
therapy, relapsed responsive medulloblastoma), and relapsed lymphoma that is responsive to
chemotherapy. There has been benefit shown in other diseases, as well (eg, relapsed germ cell
47
tumors, disseminated retinoblastoma). With this explanation in mind, option B is the correct
answer.",100mcq's
Stem Cell Transplantation,"Which of the following statements about myeloablative, myeloablative but reduced toxicity,
reduced intensity, and non-myeloablative approaches is not correct?
A. Myeloblative approaches are needed for high-risk malignancies to maximize depth of
remission and decrease the likelihood of relapse.
B. Reduced intensity regimens can be successfully used for most nonmalignant disorders to
minimize risk of late effects.
C. Reduced intensity regimens can markedly decrease the risk of transplant-related mortality
in patients who have underlying significant comorbidities but at the cost of more relapse
and possibly more graft-versus-host disease.
D. Non-myeloablative regimens are used for the very highest risk patients to minimize
toxicity and for certain diseases such as aplastic anemia.
E. Myeloablative reduced toxicity approaches are often needed to decrease graft rejection
and maximize chimerism in certain non-malignant disorders.","Reduced intensity regimens can be successfully used for most nonmalignant disorders to
minimize risk of late effects.","Myeloablative regimens are used to both maximize depth of remission and to minimize the risk
of rejection. This has been shown to reduce relapse in disorders such as high-risk acute myeloid
leukemia and acute lymphoblastic leukemia, where these approaches are standard; hence, answer
A is true. Although reduced intensity regimens can be successfully used in some nonmalignant
disorders, many disorders cannot be treated as effectively with these approaches because of
higher risks of partial chimerism or rejection. In these disorders, reduced-toxicity approaches are
best. With this in mind, answer B is the correct answer (the only statement that is incorrect) and
answer E is true. A very important use of reduced intensity conditioning (RI or RIC) regimens is
in patients who have major comorbidities, such as decreased lung or heart function, or partially
controlled fungal infections. Although transplant-related mortality (TRM) decreases with these
approaches, relapse increases, and the need to use peripheral blood stem cells for the success of
these approaches results in more graft-versus-host disease. The trade-off of sacrificing intensity
for graft-versus-leukemia effect can cure many patients who do not have good alternatives;
however, they need to be in a good remission (minimal residual disease–negative, preferably) to
have a reasonable chance of success. For the sickest patients, non-myeloablative approaches
offer an alternative and can cure a number of patients with little toxicity (although with higher
relapse). Severe aplastic anemia treatment regimens are non-myeloablative and generally result
in few if any late effects and normal fertility. With this in mind, C and D are true.",100mcq's
 Stem Cell Transplantation,"A 3-year-old boy with X-linked chronic granulomatosis disease is day +25 after
haploidentical bone marrow transplant (father donor) using posttransplant cyclophosphamide
as graft-versus-host disease (GVHD) prophylaxis. He engrafted on day +16 and was
preparing for discharge when cytomegalovirus (CMV) was noted to be positive on PCR, and
he developed a fever and mild rash. His counts have fallen to a WBC of 0.1 and he remains
transfusion dependent. What diagnostic evaluations/treatments should you pursue?
A. Rule out infection by sending blood cultures, start broad spectrum antibiotics, and obtain
other diagnostic workup as appropriate. Consider skin biopsy and treat with steroids for
likely acute GVHD (aGHVD).
B. Initiate an infectious workup and treat with broad-spectrum antibiotics. Consult with the
PICU team because the low blood counts are likely a preseptic presentation.
C. Test for possible rejection with rapid FISH chimerism and consider withdrawal of
immune suppression if donor chimerism is low.
D. Send blood cultures, start antibiotics, and treat his CMV with foscarnet. Send rapid
chimerism by STR to assess for possible rejection. If donor chimerism is low or absent,
work on obtaining an alternative donor for a second procedure.
E. Start steroids to treat aGVHD and give supportive care with granulocyte colony
stimulating factor.","D. Send blood cultures, start antibiotics, and treat his CMV with foscarnet. Send rapid
chimerism by STR to assess for possible rejection. If donor chimerism is low or absent,
work on obtaining an alternative donor for a second procedure.","This patient is at high risk for rejection because he is undergoing bone marrow transplantation
(BMT) for a nonmalignant condition that is often associated with excessive inflammation, and he
has received a haploidentical procedure. Suspicion for rejection should be high. This patient also
initially showed count recovery but later developed a fever, rash, and low counts, a classic
presentation of acute rejection. Of note, however, infection or graft-versus-host disease (GVHD)
could also cause a picture similar to this, so this must be approached carefully. Option A includes
many things that should be done, but with counts falling to nearly 0, GVHD is less likely, and
there is no mention of assessing for graft failure. Option B focuses on infection and possible
sepsis. Although overwhelming sepsis could present like this, other signs such as hypotension
would likely be present. Option C is not correct because this boy received a transplant from his
father, so FISH chimerism, which relies on sex differences between donor and recipient, cannot
be performed. Option D is correct—a rule-out for bacteria must be performed with initiation of
antibiotics even though all of these symptoms (fever, rash, low counts) can be explained by acute
rejection. The fever could also be associated with the cytomegalovirus (CMV) reactivation, and
if this proves to be acute rejection, the rejection was likely triggered by the CMV reactivation.
When rejection is proven by noting absent donor chimerism, full control of the infection
followed by a salvage hematopoietic stem cell transplant (HSCT) procedure to restore
engraftment should be done as soon as possible. Option E focuses only on acute GVHD, which is
not likely, and growth factors such as granulocyte colony stimulating factor (G-CSF) do not
improve counts in the face of acute rejection.",100mcq's
